Variable Name,Field Name,Log Types,PAN-OS Description,Mapping Type,ECS Field,ECS Type,ECS Description
action,Action,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP","Action taken for the session; possible values are:

allow—session was allowed by policy

deny—session was denied by policy

drop—session was dropped silently

drop ICMP—session was silently dropped with an ICMP unreachable message to the host or application

reset both—session was terminated and a TCP reset is sent to both the sides of the connection

reset client—session was terminated and a TCP reset is sent to the client

reset server—session was terminated and a TCP reset is sent to the server",,,,
dport,Destination Port,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Destination port utilized by the session.,"=
->","destination.port
network.community_id","long
keyword","Destination port utilized by the session.
A hash of source and destination IPs and ports."
dst,Destination Address,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Original session destination IP address.,"=
=
=
->","destination.address
destination.ip
related.ip
network.community_id","keyword
ip
ip
keyword","Destination network address.
IP address of the destination.
All of the IPs seen on your event.
A hash of source and destination IPs and ports."
from,Source Zone,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Zone the session was sourced from.,=,observer.ingress.zone.name,keyword,The source security zone.
inbound_if,Inbound Interface,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Interface that the session was sourced from.,=,observer.ingress.interface.name,keyword,Interface on which the network traffic arrived.
outbound_if,Outbound Interface,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Interface that the session was destined to.,=,observer.egress.interface.name,keyword,Interface from which the network traffic left.
proto,Protocol,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",IP protocol associated with the session.,"=
->
->","network.transport
network.iana_number
network.community_id","keyword
keyword
keyword","IP protocol associated with the session (e.g., tcp, udp).
IANA Protocol Number.
A hash of source and destination IPs and ports."
rule,Rule Name,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Name of the rule that the session matched.,=,rule.name,keyword,Name of the rule that the session matched.
sport,Source Port,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Source port utilized by the session.,"=
->","source.port
network.community_id","long
keyword","Source port utilized by the session.
A hash of source and destination IPs and ports."
to,Destination Zone,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP,SCTP",Zone the session was destined to.,=,observer.egress.zone.name,keyword,The destination security zone.
app,Application,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP",Application associated with the session.,=,network.application,keyword,Application associated with the session.
category_of_app,Application Category,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP","The application category specified in the application configuration properties. Values are:

business-systems

collaboration

general-internet

media

networking

saas",,,,
characteristic_of_app,Application Characteristic,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP",Comma-separated list of applicable characteristic of the application,,,,
container_of_app,Application Container,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP",The parent application for an application.,,,,
is_saas_of_app,Application SaaS,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP",Displays 1 if a SaaS application or 0 if not a SaaS application.,,,,
risk_of_app,Application Risk,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP",Risk level associated with the application (1=lowest to 5=highest).,,,,
sanctioned_state_of_app,Application Sanctioned State,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP",Displays 1 if application is sanctioned or 0 if application is not sanctioned.,,,,
subcategory_of_app,Application Subcategory,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP",The application subcategory specified in the application configuration properties.,,,,
technology_of_app,Application Technology,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection,GTP","The application technology specified in the application configuration properties. Values are:

browser-based

client-server

network-protocol

peer-to-peer",,,,
vsys_id,Virtual System ID,"Decryption,GlobalProtect,Authentication,HIP Match,User ID,IP Tag,Correlated Events",A unique identifier for a virtual system on a Palo Alto Networks firewall.,,,,
dst_edl,Destination External Dynamic List,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection",The name of the external dynamic list that contains the destination IP address of the traffic.,,,,
dstloc,Destination Country,"Traffic,Threat,URL Filtering,Data Filtering,Tunnel Inspection,GTP",Destination country or Internal region for private addresses. Maximum length is 32 bytes.,=,destination.geo.country_name,keyword,Country name of the destination IP address.
dstuser,Destination User,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection",Username of the user to which the session was destined.,"=
=","destination.user.name
related.user","keyword
keyword","Username of the user to which the session was destined.
All the user names or other user identifiers seen on the event."
flags,Flags,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection","32-bit field that provides details on session; this field can be decoded by AND-ing the values with the logged value:

0x80000000—session has a packet capture (PCAP)

0x40000000—option is enabled to allow a client to use multiple paths to connect to a destination host

0x20000000—indicates whether a sample has been submitted for analysis using the WildFire public or private cloud channel

0x10000000—enterprise credential submission by end user detected

0x08000000— source for the flow is on the allow list and not subject to recon protection

0x02000000—IPv6 session

0x01000000—SSL session is decrypted (SSL Proxy)

0x00800000—session is denied via URL filtering

0x00400000—session has a NAT translation performed

0x00200000—user information for the session was captured through Authentication Portal

0x00100000—application traffic is on a non-standard destination port

0x00080000 —X-Forwarded-For value from a proxy is in the source user field

0x00040000—log corresponds to a transaction within a http proxy session (Proxy Transaction)

0x00020000—Client to Server flow is subject to policy based forwarding

0x00010000—Server to Client flow is subject to policy based forwarding

0x00008000—session is a container page access (Container Page)

0x00002000—session has a temporary match on a rule for implicit application dependency handling. Available in PAN-OS 5.0.0 and above.

0x00000800—symmetric return is used to forward traffic for this session

0x00000400—decrypted traffic is being sent out clear text through a mirror port

0x00000100—payload of the outer tunnel is being inspected",,,,
hostid,Host ID,"Traffic,Threat,URL Filtering,Data Filtering,GlobalProtect,HIP Match",Unique ID GlobalProtect assigns to identify the host.,,,,
natdport,NAT Destination Port,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection",Post-NAT destination port.,=,destination.nat.port,long,Post-NAT destination port.
natdst,NAT Destination IP,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection","If Destination NAT performed, the post-NAT Destination IP address.","=
=","destination.nat.ip
related.ip","ip
ip","If destination NAT performed, the post-NAT destination IP.
All of the IPs seen on your event."
